"content_id","datetime","day_of_week","time_of_day","content_type","reaction_type","sentiment","category","score"
"4e4c9690-c013-4ee7-9e66-943d8cbd27b7","2021-02-25 11:06:11","Thursday ","Morning","GIF","heart","positive","culture",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","2021-05-12 21:26:24","Wednesday","Night","audio","heart","positive","veganism",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","2020-07-06 09:26:17","Monday   ","Morning","audio","heart","positive","veganism",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","2021-02-07 19:05:34","Sunday   ","Night","audio","heart","positive","veganism",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","2020-11-03 20:51:07","Tuesday  ","Night","audio","heart","positive","veganism",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","2020-10-10 03:26:02","Saturday ","Morning","audio","heart","positive","veganism",60
"435007a5-6261-4d8b-b0a4-55fdc189754b","2021-06-09 06:52:54","Wednesday","Morning","audio","heart","positive","veganism",60
"c54b49c4-b1f2-4641-8595-1cbd19937845","2020-06-30 04:11:55","Tuesday  ","Morning","photo","heart","positive","science",60
"c54b49c4-b1f2-4641-8595-1cbd19937845","2020-09-07 02:53:48","Monday   ","Morning","photo","heart","positive","science",60
"c54b49c4-b1f2-4641-8595-1cbd19937845","2021-01-02 05:20:32","Saturday ","Morning","photo","heart","positive","science",60
"67766c84-7d8d-46e2-b2e8-8b0f8dc27193","2020-07-22 15:41:04","Wednesday","Afternoon","photo","heart","positive","veganism",60
"67766c84-7d8d-46e2-b2e8-8b0f8dc27193","2021-01-01 12:52:35","Friday   ","Afternoon","photo","heart","positive","veganism",60
"67766c84-7d8d-46e2-b2e8-8b0f8dc27193","2020-12-12 08:05:38","Saturday ","Morning","photo","heart","positive","veganism",60
"67766c84-7d8d-46e2-b2e8-8b0f8dc27193","2021-05-27 09:24:47","Thursday ","Morning","photo","heart","positive","veganism",60
"67766c84-7d8d-46e2-b2e8-8b0f8dc27193","2020-12-29 22:12:52","Tuesday  ","Night","photo","heart","positive","veganism",60
